## ---- Styles ab hier ----
# style: label=%ident%;fillColor=rgb(0, 0, 0);strokeColor=rgb(255, 255, 255);fontColor=rgb(255, 255, 255);opacity=0
# namespace: csvimport
# connect: {"from": "kalt", "to": "label", "invert":true, "style": "endArrow=none;strokeColor=#6C8EBF;strokeWidth=5"}
# connect: {"from": "warm", "to": "label", "invert":true, "style": "endArrow=none;strokeColor=#B85450;strokeWidth=5"}
# connect: {"from": "energie", "to": "label", "invert":true, "style": "endArrow=none;strokeColor=#D6B656;strokeWidth=5"}
# connect: {"from": "sonstige", "to": "label", "invert":true, "style": "endArrow=none;strokeColor=#CCCCCC;strokeWidth=2"}
# width: 100
# height: auto
# padding: 30
# nodespacing: 20
# levelspacing: 80
# edgespacing: 40
# layout: horizontalflow
## ---- CSV ab hier ----
label,kalt,warm,energie,sonstige
Gasanschluss
ATS01
GAK01,,,Gasanschluss,ATS01
BWS01,TMP04,TMP03
TMP01,,GAK01
TMP02,GAK01
TMP03,,TMP01
TMP04,WMZ01
TMP05,,BWS01
TMP06,,BWS01
TMP07,,TMP01
TMP08,WMZ01
WMZ01,TMP02
Warmwasser,,TMP05
Zirkulation,,TMP06
Vorlauf,,TMP07
Rücklauf,TMP08
